PathwayName,Event,RelationType,InputReaction
Cell Cycle,R-HSA-2314569,Shared entity relation,null
Cell Cycle,R-HSA-2172183,Shared entity relation,null
Cell Cycle,R-HSA-2172183,Shared entity relation,R-HSA-2172194
Cell Cycle,R-HSA-2172183,Shared entity relation,R-HSA-2314569
Cell Cycle,R-HSA-2314566,Shared entity relation,null
Cell Cycle,R-HSA-2172194,Shared entity relation,R-HSA-2214351
Cell Cycle,R-HSA-2430533,Shared entity relation,R-HSA-2168079
Cell Cycle,R-HSA-2430533,Shared entity relation,R-HSA-2430535
Cell Cycle,R-HSA-2430535,Shared entity relation,null
Cell Cycle,R-HSA-2430552,Shared entity relation,null
Cell Cycle,R-HSA-2168079,Shared entity relation,null
Cell Cycle,R-HSA-2984220,Shared entity relation,R-HSA-2984226
Cell Cycle,R-HSA-2980720,Shared entity relation,R-HSA-2984258
Cell Cycle,R-HSA-2984226,Shared entity relation,R-HSA-2980720
Cell Cycle,R-HSA-2984258,Shared entity relation,R-HSA-9648017
Cell Cycle,R-HSA-2984258,Shared entity relation,R-HSA-9648089
Cell Cycle,R-HSA-2984258,Shared entity relation,R-HSA-2990880
Cell Cycle,R-HSA-5195402,Shared entity relation,R-HSA-4419948
Cell Cycle,R-HSA-5229194,Shared entity relation,R-HSA-2995376
Cell Cycle,R-HSA-5229194,Shared entity relation,R-HSA-5244669
Cell Cycle,R-HSA-5223304,Shared entity relation,R-HSA-5229194
Cell Cycle,R-HSA-5244669,Shared entity relation,null
Cell Cycle,R-HSA-4419948,Shared entity relation,R-HSA-5195402
Cell Cycle,R-HSA-4419948,Shared entity relation,R-HSA-5221130
Cell Cycle,R-HSA-2993898,Shared entity relation,R-HSA-2470935
Cell Cycle,R-HSA-2993898,Shared entity relation,R-HSA-2995376
Cell Cycle,R-HSA-2993898,Shared entity relation,R-HSA-5229194
Cell Cycle,R-HSA-2993898,Shared entity relation,null
Cell Cycle,R-HSA-2990880,Shared entity relation,null
Cell Cycle,R-HSA-2990882,Shared entity relation,R-HSA-2990880
Cell Cycle,R-HSA-380278,Shared entity relation,null
Cell Cycle,R-HSA-2245218,Shared entity relation,null
Cell Cycle,R-HSA-2245218,Shared entity relation,R-HSA-2288097
Cell Cycle,R-HSA-2429719,Shared entity relation,null
Cell Cycle,R-HSA-2288097,Shared entity relation,R-HSA-2294600
Cell Cycle,R-HSA-2301205,Shared entity relation,R-HSA-2245218
Cell Cycle,R-HSA-2301205,Shared entity relation,R-HSA-2172678
Cell Cycle,R-HSA-2172678,Shared entity relation,R-HSA-2301205
Cell Cycle,R-HSA-2294580,Shared entity relation,R-HSA-2294574
Cell Cycle,R-HSA-2172666,Shared entity relation,R-HSA-2288097
Cell Cycle,R-HSA-2294600,Shared entity relation,R-HSA-2294590
Cell Cycle,R-HSA-2294590,Shared entity relation,R-HSA-2294580
Cell Cycle,R-HSA-2294574,Shared entity relation,null
Cell Cycle,R-HSA-375302,Shared entity relation,R-HSA-9648114
Cell Cycle,R-HSA-375302,Shared entity relation,R-HSA-2484822
Cell Cycle,R-HSA-2514854,Shared entity relation,R-HSA-2520883
Cell Cycle,R-HSA-2529015,Shared entity relation,R-HSA-2529020
Cell Cycle,R-HSA-2529015,Shared entity relation,R-HSA-2514854
Cell Cycle,R-HSA-2520883,Shared entity relation,null
Cell Cycle,R-HSA-2529020,Shared entity relation,R-HSA-2529015
Cell Cycle,R-HSA-380508,Shared entity relation,R-HSA-380316
Cell Cycle,R-HSA-380316,Shared entity relation,null
Cell Cycle,R-HSA-2468293,Shared entity relation,R-HSA-2466068
Cell Cycle,R-HSA-2466068,Shared entity relation,R-HSA-2467794
Cell Cycle,R-HSA-2545253,Shared entity relation,null
Cell Cycle,R-HSA-2484822,Shared entity relation,R-HSA-2468287
Cell Cycle,R-HSA-2467794,Shared entity relation,R-HSA-2468041
Cell Cycle,R-HSA-2467794,Shared entity relation,R-HSA-2545253
Cell Cycle,R-HSA-2467794,Shared entity relation,null
Cell Cycle,R-HSA-2468287,Shared entity relation,R-HSA-1638803
Cell Cycle,R-HSA-1638803,Shared entity relation,R-HSA-1638821
Cell Cycle,R-HSA-1638821,Shared entity relation,R-HSA-2467809
Cell Cycle,R-HSA-9647746,Shared entity relation,R-HSA-9648017
Cell Cycle,R-HSA-9647746,Shared entity relation,R-HSA-9648114
Cell Cycle,R-HSA-9647746,Shared entity relation,R-HSA-9648089
Cell Cycle,R-HSA-9648114,Shared entity relation,null
Cell Cycle,R-HSA-9648017,Shared entity relation,null
Cell Cycle,R-HSA-156682,Shared entity relation,R-HSA-9648114
Cell Cycle,R-HSA-9648089,Shared entity relation,null
Cell Cycle,R-HSA-188386,Shared entity relation,R-HSA-188390
Cell Cycle,R-HSA-69191,Shared entity relation,R-HSA-157906
Cell Cycle,R-HSA-69195,Shared entity relation,R-HSA-69199
Cell Cycle,R-HSA-69199,Shared entity relation,R-HSA-69562
Cell Cycle,R-HSA-69199,Shared entity relation,R-HSA-69195
Cell Cycle,R-HSA-69199,Shared entity relation,R-HSA-188350
Cell Cycle,R-HSA-157906,Shared entity relation,R-HSA-69562
Cell Cycle,R-HSA-157906,Shared entity relation,R-HSA-69195
Cell Cycle,R-HSA-157906,Shared entity relation,R-HSA-188350
Cell Cycle,R-HSA-187506,Shared entity relation,null
Cell Cycle,R-HSA-188390,Shared entity relation,null
Cell Cycle,R-HSA-187828,Shared entity relation,null
Cell Cycle,R-HSA-198613,Shared entity relation,null
Cell Cycle,R-HSA-8932400,Shared entity relation,R-HSA-188345
Cell Cycle,R-HSA-187520,Shared entity relation,R-HSA-187552
Cell Cycle,R-HSA-187552,Shared entity relation,R-HSA-187575
Cell Cycle,R-HSA-8848436,Shared entity relation,null
Cell Cycle,R-HSA-8848436,Shared entity relation,R-HSA-8848414
Cell Cycle,R-HSA-187574,Shared entity relation,R-HSA-1363331
Cell Cycle,R-HSA-187574,Shared entity relation,R-HSA-68946
Cell Cycle,R-HSA-187574,Shared entity relation,R-HSA-6804724
Cell Cycle,R-HSA-187574,Shared entity relation,R-HSA-187575
Cell Cycle,R-HSA-187574,Shared entity relation,R-HSA-6804879
Cell Cycle,R-HSA-187574,Shared entity relation,R-HSA-174057
Cell Cycle,R-HSA-187574,Shared entity relation,R-HSA-69005
Cell Cycle,R-HSA-187574,Shared entity relation,R-HSA-187552
Cell Cycle,R-HSA-187574,Shared entity relation,R-HSA-1363328
Cell Cycle,R-HSA-187575,Shared entity relation,R-HSA-187574
Cell Cycle,R-HSA-8848414,Shared entity relation,R-HSA-8848436
Cell Cycle,R-HSA-187545,Shared entity relation,R-HSA-187552
Cell Cycle,R-HSA-187545,Shared entity relation,R-HSA-1363328
Cell Cycle,R-HSA-188345,Shared entity relation,R-HSA-69604
Cell Cycle,R-HSA-188345,Shared entity relation,R-HSA-69199
Cell Cycle,R-HSA-188345,Shared entity relation,R-HSA-170158
Cell Cycle,R-HSA-188345,Shared entity relation,R-HSA-69608
Cell Cycle,R-HSA-188350,Shared entity relation,R-HSA-188386
Cell Cycle,R-HSA-68960,Shared entity relation,R-HSA-68914
Cell Cycle,R-HSA-69299,Shared entity relation,null
Cell Cycle,R-HSA-68914,Shared entity relation,R-HSA-68913
Cell Cycle,R-HSA-68917,Shared entity relation,R-HSA-176318
Cell Cycle,R-HSA-68917,Shared entity relation,R-HSA-68916
Cell Cycle,R-HSA-68916,Shared entity relation,R-HSA-68914
Cell Cycle,R-HSA-68916,Shared entity relation,R-HSA-68960
Cell Cycle,R-HSA-68919,Shared entity relation,R-HSA-68940
Cell Cycle,R-HSA-68918,Shared entity relation,R-HSA-68917
Cell Cycle,R-HSA-68954,Shared entity relation,null
Cell Cycle,R-HSA-68940,Shared entity relation,R-HSA-69299
Cell Cycle,R-HSA-68940,Shared entity relation,R-HSA-68918
Cell Cycle,R-HSA-8962039,Shared entity relation,null
Cell Cycle,R-HSA-8961846,Shared entity relation,null
